id;headerline;url;pub_date;image;image_content_type
1;technologies Computer;https://nico.com;2021-06-09T23:08:40;../fake-data/blob/hipster.png;image/png
2;Directives;https://ed.com;2021-06-09T06:33:49;../fake-data/blob/hipster.png;image/png
3;Consultant Ergonomic;http://madge.com;2021-06-09T18:44:20;../fake-data/blob/hipster.png;image/png
4;Account bricks-and-clicks;https://hilda.name;2021-06-09T02:27:16;../fake-data/blob/hipster.png;image/png
5;synthesizing;http://lea.info;2021-06-09T21:20:22;../fake-data/blob/hipster.png;image/png
6;Platinum olive;http://westley.name;2021-06-09T02:18:07;../fake-data/blob/hipster.png;image/png
7;Kids Unbranded Berkshire;https://leopold.info;2021-06-09T16:48:18;../fake-data/blob/hipster.png;image/png
8;orange pink infomediaries;http://johanna.name;2021-06-09T08:52:41;../fake-data/blob/hipster.png;image/png
9;Soft Reverse-engineered;http://harmon.org;2021-06-09T19:58:14;../fake-data/blob/hipster.png;image/png
10;Cheese global Cotton;https://brook.com;2021-06-09T04:28:48;../fake-data/blob/hipster.png;image/png
